table,variable,value,label
hh,home_county,27035,Crow Wing
hh,home_county,27037,Dakota
hh,home_county,27039,Dodge
hh,home_county,27041,Douglas
hh,home_county,27043,Faribault
hh,home_county,27045,Fillmore
hh,home_county,27047,Freeborn
hh,home_county,27049,Goodhue
hh,home_county,27051,Grant
hh,home_county,27053,Hennepin
hh,home_county,27055,Houston
hh,home_county,27057,Hubbard
hh,home_county,27059,Isanti
hh,home_county,27061,Itasca
hh,home_county,27063,Jackson
hh,home_county,27065,Kanabec
hh,home_county,27067,Kandiyohi
hh,home_county,27069,Kittson
hh,home_county,27071,Koochiching
hh,home_county,27073,Lac qui Parle
hh,home_county,27075,Lake
hh,home_county,27077,Lake of the Woods
hh,home_county,27079,Le Sueur
hh,home_county,27081,Lincoln
hh,home_county,27083,Lyon
hh,home_county,27085,McLeod
hh,home_county,27087,Mahnomen
hh,home_county,27089,Marshall
hh,home_county,27091,Martin
hh,home_county,27093,Meeker
hh,home_county,27095,Mille Lacs
hh,home_county,27097,Morrison
hh,home_county,27099,Mower
hh,home_county,27101,Murray
hh,home_county,27103,Nicollet
hh,home_county,27105,Nobles
hh,home_county,27107,Norman
hh,home_county,27109,Olmsted
hh,home_county,27111,Otter Tail
hh,home_county,27113,Pennington
hh,home_county,27115,Pine
hh,home_county,27117,Pipestone
hh,home_county,27119,Polk
hh,home_county,27121,Pope
hh,home_county,27123,Ramsey
hh,home_county,27125,Red Lake
hh,home_county,27127,Redwood
hh,home_county,27129,Renville
hh,home_county,27131,Rice
hh,home_county,27133,Rock
hh,home_county,27135,Roseau
hh,home_county,27137,St Louis
hh,home_county,27139,Scott
hh,home_county,27141,Sherburne
hh,home_county,27143,Sibley
hh,home_county,27145,Stearns
hh,home_county,27147,Steele
hh,home_county,27149,Stevens
hh,home_county,27151,Swift
hh,home_county,27153,Todd
hh,home_county,27155,Traverse
hh,home_county,27157,Wabasha
hh,home_county,27159,Wadena
hh,home_county,27161,Waseca
hh,home_county,27163,Washington
hh,home_county,27165,Watonwan
hh,home_county,27167,Wilkin
hh,home_county,27169,Winona
hh,home_county,27171,Wright
hh,home_county,27173,Yellow Medicine
hh,home_county,55001,Adams
hh,home_county,55003,Ashland
hh,home_county,55005,Barron
hh,home_county,55007,Bayfield
hh,home_county,55009,Brown
hh,home_county,55011,Buffalo
hh,home_county,55013,Burnett
hh,home_county,55015,Calumet
hh,home_county,55017,Chippewa
hh,home_county,55019,Clark
hh,home_county,55021,Columbia
hh,home_county,55023,Crawford
hh,home_county,55025,Dane
hh,home_county,55027,Dodge
hh,home_county,55029,Door
hh,home_county,55031,Douglas
hh,home_county,55033,Dunn
hh,home_county,55035,Eau Claire
hh,home_county,55037,Florence
hh,home_county,55039,Fond du Lac
hh,home_county,55041,Forest
hh,home_county,55043,Grant
hh,home_county,55045,Green
hh,home_county,55047,Green Lake
hh,home_county,55049,Iowa
hh,home_county,55051,Iron
hh,home_county,55053,Jackson
hh,home_county,55055,Jefferson
hh,home_county,55057,Juneau
hh,home_county,55059,Kenosha
hh,home_county,55061,Kewaunee
hh,home_county,55063,La Crosse
hh,home_county,55065,Lafayette
hh,home_county,55067,Langlade
hh,home_county,55069,Lincoln
hh,home_county,55071,Manitowoc
hh,home_county,55073,Marathon
hh,home_county,55075,Marinette
hh,home_county,55077,Marquette
hh,home_county,55078,Menominee
hh,home_county,55079,Milwaukee
hh,home_county,55081,Monroe
hh,home_county,55083,Oconto
hh,home_county,55085,Oneida
hh,home_county,55087,Outagamie
hh,home_county,55089,Ozaukee
hh,home_county,55091,Pepin
hh,home_county,55093,Pierce
hh,home_county,55095,Polk
hh,home_county,55097,Portage
hh,home_county,55099,Price
hh,home_county,55101,Racine
hh,home_county,55103,Richland
hh,home_county,55105,Rock
hh,home_county,55107,Rusk
hh,home_county,55109,St Croix
hh,home_county,55111,Sauk
hh,home_county,55113,Sawyer
hh,home_county,55115,Shawano
hh,home_county,55117,Sheboygan
hh,home_county,55119,Taylor
hh,home_county,55121,Trempealeau
hh,home_county,55123,Vernon
hh,home_county,55125,Vilas
hh,home_county,55127,Walworth
hh,home_county,55129,Washburn
hh,home_county,55131,Washington
hh,home_county,55133,Waukesha
hh,home_county,55135,Waupaca
hh,home_county,55137,Waushara
hh,home_county,55139,Winnebago
hh,home_county,55141,Wood
hh,home_state,27,Minnesota
hh,home_state,55,Wisconsin
hh,home_state,995,Missing
hh,sample_segment,1,Core Urban BGs - Group 1
hh,sample_segment,2,Core Urban BGs - Group 2
hh,sample_segment,3,Core Urban BGs - Group 3
hh,sample_segment,4,Core Urban BGs - Group 4
hh,sample_segment,5,Core Urban BGs - Group 5
hh,sample_segment,6,Core Rural
hh,sample_segment,7,Rural Ring
hh,sample_segment,8,Supplemental
hh,sample_segment,995,Missing
hh,income_detailed,1,"Less than $15,000"
hh,income_detailed,2,"$15,000-$24,999"
hh,income_detailed,3,"$25,000-$34,999"
hh,income_detailed,4,"$35,000-$49,999"
hh,income_detailed,5,"$50,000-$74,999"
hh,income_detailed,6,"$75,000-$99,999"
hh,income_detailed,7,"$100,000-$149,999"
hh,income_detailed,8,"$150,000-$199,999"
hh,income_detailed,9,"$200,000-$249,999"
hh,income_detailed,10,"$250,000 or more"
hh,income_detailed,995,Missing
hh,income_detailed,999,Prefer not to answer
hh,income_broad,1,"Under $25,000"
hh,income_broad,2,"$25,000-$49,999"
hh,income_broad,3,"$50,000-$74,999"
hh,income_broad,4,"$75,000-$99,999"
hh,income_broad,5,"$100,000-$199,999"
hh,income_broad,6,"$200,000 or more"
hh,income_broad,995,Missing
hh,income_broad,999,Prefer not to answer
hh,rent_cost,1,$0 - $499
hh,rent_cost,2,$500 - $749
hh,rent_cost,3,$750 - $999
hh,rent_cost,4,"$1,000 - $1,249"
hh,rent_cost,5,"$1,250 - $1,499"
hh,rent_cost,6,"$1,500 - $1,749"
hh,rent_cost,7,"$1,750 - $1,999"
hh,rent_cost,8,"$2,000 - $2,499"
hh,rent_cost,9,"$2,500 - $2,999"
hh,rent_cost,10,"$3,000 - $3,999"
hh,rent_cost,11,"$4,000 or more"
hh,rent_cost,995,Missing
hh,rent_cost,999,Prefer not to answer
hh,rent_own,1,Own/buying (paying a mortgage)
hh,rent_own,2,Rent
hh,rent_own,3,Housing provided by job or military
hh,rent_own,4,"Provided by family, relative, or friend without payment or rent"
hh,rent_own,995,Missing
hh,rent_own,997,Other
hh,rent_own,999,Prefer not to answer
hh,residence_duration,1,Less than a year
hh,residence_duration,2,Between 1 and 2 years
hh,residence_duration,3,Between 2 and 3 years
hh,residence_duration,4,Between 3 and 5 years
hh,residence_duration,5,Between 5 and 10 years
hh,residence_duration,6,Between 10 and 20 years
hh,residence_duration,7,More than 20 years
hh,residence_duration,995,Missing
hh,residence_months,1,12 months (all year long)
hh,residence_months,2,10-11 months
hh,residence_months,3,7-9 months
hh,residence_months,4,4-6 months
hh,residence_months,5,Up to 3 months of the year
hh,residence_months,995,Missing
hh,residence_months,999,Prefer not to answer
hh,residence_type,1,Single-family house (detached house)
hh,residence_type,2,Single-family house attached to one or more houses (rowhouse or townhouse)
hh,residence_type,3,"Building with 2-4 units (duplexes, triplexes, quads)"
hh,residence_type,4,Building with 5-49 apartments/condos
hh,residence_type,5,Building with 50 or more apartments/condos
hh,residence_type,6,Senior or age-restricted apartments/condos
hh,residence_type,7,Manufactured home/mobile home/trailer
hh,residence_type,8,"Dorm, group quarters, or institutional housing"
hh,residence_type,9,"Other (e.g., boat, RV, van)"
hh,residence_type,995,Missing
hh,num_hh_days,1,1 day
hh,num_hh_days,2,2 days
hh,num_hh_days,3,3 days
hh,num_hh_days,4,4 days
hh,num_hh_days,5,5 days
hh,num_hh_days,6,6 days
hh,num_hh_days,7,7 days
hh,num_hh_days,995,Missing
hh,num_hh_days_week,1,1 day
hh,num_hh_days_week,2,2 days
hh,num_hh_days_week,3,3 days
hh,num_hh_days_week,4,4 days
hh,num_hh_days_week,5,5 days
hh,num_hh_days_week,995,Missing
hh,num_hh_days_weekend,0,0 days
hh,num_hh_days_weekend,1,1 day
hh,num_hh_days_weekend,2,2 days
hh,num_hh_days_weekend,995,Missing
hh,home_zone,1,Anoka County
hh,home_zone,2,Carver County
hh,home_zone,3,Dakota County
hh,home_zone,4,Hennepin County
hh,home_zone,5,Ramsey County
hh,home_zone,6,Scott County
hh,home_zone,7,Washington County
hh,home_zone,8,MPO outside seven counties
hh,home_zone,9,"In study region, but not in MPO"
hh,home_zone,10,Not in study region
person,person_num,1,1
person,person_num,2,2
person,person_num,3,3
person,person_num,4,4
person,person_num,5,5
person,person_num,6,6
person,person_num,7,7
person,person_num,8,8
person,person_num,9,9
person,person_num,10,10
person,person_num,11,11
person,person_num,12,12
person,person_num,13,13
person,person_num,995,Missing
person,relationship,0,Self
person,relationship,1,Husband/wife/spouse
person,relationship,2,Son or daughter (or child in-law)
person,relationship,3,Father or mother (or parent in-law)
person,relationship,4,Brother or sister (or sibling in-law)
person,relationship,5,"Other relative (e.g., grandchild, cousin)"
person,relationship,6,Roommate or friend
person,relationship,7,Household help
person,relationship,8,Unmarried partner
person,relationship,995,Missing
person,relationship,997,Other nonrelative
person,age,1,Under 5
person,age,2,5 to 15
person,age,3,16 to 17
person,age,4,18 to 24
person,age,5,25 to 34
person,age,6,35 to 44
person,age,7,45 to 54
person,age,8,55 to 64
person,age,9,65 to 74
person,age,10,75 to 84
person,age,11,85 or older
person,age,995,Missing
person,gender,1,Female
person,gender,2,Male
person,gender,3,Transgender
person,gender,4,Non-binary/third gender
person,gender,995,Missing
person,gender,997,Other/prefer to self-describe
person,gender,999,Prefer not to answer
person,disability,1,Yes
person,disability,2,No
person,disability,995,Missing
person,disability,999,Prefer not to answer
person,can_drive,1,"Yes, drives"
person,can_drive,3,"No, does not drive"
person,can_drive,995,Missing
person,phone_type,0,Does not have a smartphone
person,phone_type,1,Has an Android phone
person,phone_type,2,Has an Apple iPhone
person,phone_type,3,Has other smartphone type
person,phone_type,995,Missing
person,ethnicity_afam,0,Not selected
person,ethnicity_afam,1,Selected
person,ethnicity_afam,995,Missing
person,ethnicity_aiak,0,Not selected
person,ethnicity_aiak,1,Selected
person,ethnicity_aiak,995,Missing
person,ethnicity_asian,0,Not selected
person,ethnicity_asian,1,Selected
person,ethnicity_asian,995,Missing
person,ethnicity_hapi,0,Not selected
person,ethnicity_hapi,1,Selected
person,ethnicity_hapi,995,Missing
person,ethnicity_hisp,0,Not selected
person,ethnicity_hisp,1,Selected
person,ethnicity_hisp,995,Missing
person,ethnicity_mideast,0,Not selected
person,ethnicity_mideast,1,Selected
person,ethnicity_mideast,995,Missing
person,ethnicity_white,0,Not selected
person,ethnicity_white,1,Selected
person,ethnicity_white,995,Missing
person,ethnicity_dk,0,Not selected
person,ethnicity_dk,1,Selected
person,ethnicity_dk,995,Missing
person,ethnicity_pnta,0,Not selected
person,ethnicity_pnta,1,Selected
person,ethnicity_pnta,995,Missing
person,ethnicity_other,0,Not selected
person,ethnicity_other,1,Selected
person,ethnicity_other,995,Missing
person,race_black_african_1,0,Not selected
person,race_black_african_1,1,Selected
person,race_black_african_1,995,Missing
person,race_black_african_2,0,Not selected
person,race_black_african_2,1,Selected
person,race_black_african_2,995,Missing
person,race_black_african_3,0,Not selected
person,race_black_african_3,1,Selected
person,race_black_african_3,995,Missing
person,race_black_african_4,0,Not selected
person,race_black_african_4,1,Selected
person,race_black_african_4,995,Missing
person,race_black_african_5,0,Not selected
person,race_black_african_5,1,Selected
person,race_black_african_5,995,Missing
person,race_black_african_997,0,Not selected
person,race_black_african_997,1,Selected
person,race_black_african_997,995,Missing
person,race_black_african_998,0,Not selected
person,race_black_african_998,1,Selected
person,race_black_african_998,995,Missing
person,race_black_african_999,0,Not selected
person,race_black_african_999,1,Selected
person,race_black_african_999,995,Missing
person,race_asian_1,0,Not selected
person,race_asian_1,1,Selected
person,race_asian_1,995,Missing
person,race_asian_2,0,Not selected
person,race_asian_2,1,Selected
person,race_asian_2,995,Missing
person,race_asian_3,0,Not selected
person,race_asian_3,1,Selected
person,race_asian_3,995,Missing
person,race_asian_4,0,Not selected
person,race_asian_4,1,Selected
person,race_asian_4,995,Missing
person,race_asian_5,0,Not selected
person,race_asian_5,1,Selected
person,race_asian_5,995,Missing
person,race_asian_6,0,Not selected
person,race_asian_6,1,Selected
person,race_asian_6,995,Missing
person,race_asian_7,0,Not selected
person,race_asian_7,1,Selected
person,race_asian_7,995,Missing
person,race_asian_997,0,Not selected
person,race_asian_997,1,Selected
person,race_asian_997,995,Missing
person,race_asian_998,0,Not selected
person,race_asian_998,1,Selected
person,race_asian_998,995,Missing
person,race_asian_999,0,Not selected
person,race_asian_999,1,Selected
person,race_asian_999,995,Missing
person,race_hispanic_1,0,Not selected
person,race_hispanic_1,1,Selected
person,race_hispanic_1,995,Missing
person,race_hispanic_2,0,Not selected
person,race_hispanic_2,1,Selected
person,race_hispanic_2,995,Missing
person,race_hispanic_3,0,Not selected
person,race_hispanic_3,1,Selected
person,race_hispanic_3,995,Missing
person,race_hispanic_997,0,Not selected
person,race_hispanic_997,1,Selected
person,race_hispanic_997,995,Missing
person,race_hispanic_998,0,Not selected
person,race_hispanic_998,1,Selected
person,race_hispanic_998,995,Missing
person,race_hispanic_999,0,Not selected
person,race_hispanic_999,1,Selected
person,race_hispanic_999,995,Missing
person,education,1,Less than high school
person,education,2,High school graduate/GED
person,education,3,Some college
person,education,4,Vocational/technical training
person,education,5,Associate degree
person,education,6,Bachelor's degree
person,education,7,Graduate/post-graduate degree
person,education,995,Missing
person,education,999,Prefer not to answer
person,student_status,1,Not a student
person,student_status,2,"Part-time student, currently attending some or all classes in-person"
person,student_status,3,"Part-time student, ONLY online classes"
person,student_status,4,"Full-time student, currently attending some or all classes in-person"
person,student_status,5,"Full-time student, ONLY online classes"
person,student_status,995,Missing
person,school_attend,1,"All in-person classes at school (e.g., 4 or 5 days/week)"
person,school_attend,2,"Partially in-person at school (e.g., only mornings/afternoons or 1-3 days/week)"
person,school_attend,3,All remote/online classes (no in-person classes)
person,school_attend,995,Missing
person,remote_class_freq,1,6-7 days
person,remote_class_freq,2,5 days
person,remote_class_freq,3,4 days
person,remote_class_freq,4,3 days
person,remote_class_freq,5,2 days
person,remote_class_freq,6,1 day
person,remote_class_freq,995,Missing
person,remote_class_freq,996,None
person,school_freq,1,6-7 days
person,school_freq,2,5 days
person,school_freq,3,4 days
person,school_freq,4,3 days
person,school_freq,5,2 days
person,school_freq,6,1 day
person,school_freq,995,Missing
person,school_freq,996,None
person,school_type,1,Cared for at home (not enrolled in school or daycare)
person,school_type,2,Daycare outside home
person,school_type,3,Preschool
person,school_type,4,Home school
person,school_type,5,"Elementary school (public, private, charter)"
person,school_type,6,"Middle school (public, private, charter)"
person,school_type,7,"High school (public, private, charter)"
person,school_type,10,Vocational/technical school
person,school_type,11,2-year college
person,school_type,12,4-year college
person,school_type,13,Graduate/professional school
person,school_type,995,Missing
person,school_type,997,Other
person,school_bus,1,Yes
person,school_bus,2,No
person,school_bus,995,Missing
person,school_mode,1,"Walk, jog, or roll using a mobility device"
person,school_mode,24,School bus
person,school_mode,100,Household vehicle (or motorcycle)
person,school_mode,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
person,school_mode,102,"Bus, shuttle, or vanpool"
person,school_mode,103,Bicycle or e-bicycle
person,school_mode,104,Other way of traveling
person,school_mode,105,"Rail (e.g., light rail)"
person,school_mode,106,"Uber/Lyft, taxi, or car service"
person,school_mode,107,"Scooter, moped, or skateboard"
person,school_mode,201,SouthWest Prime or MVTA Connect
person,school_mode,995,Missing
person,school_mode_seasonality,1,Yes
person,school_mode_seasonality,2,No
person,school_mode_seasonality,995,Missing
person,school_mode_season,1,"Walk, jog, or roll using a mobility device"
person,school_mode_season,24,School bus
person,school_mode_season,100,Household vehicle (or motorcycle)
person,school_mode_season,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
person,school_mode_season,102,"Bus, shuttle, or vanpool"
person,school_mode_season,103,Bicycle or e-bicycle
person,school_mode_season,104,Other way of traveling
person,school_mode_season,105,"Rail (e.g., light rail)"
person,school_mode_season,106,"Uber/Lyft, taxi, or car service"
person,school_mode_season,107,"Scooter, moped, or skateboard"
person,school_mode_season,201,SouthWest Prime or MVTA Connect
person,school_mode_season,995,Missing
person,school_county,995,Missing
person,school_county,27001,Aitkin
person,school_county,27003,Anoka
person,school_county,27005,Becker
person,school_county,27007,Beltrami
person,school_county,27009,Benton
person,school_county,27011,Big Stone
person,school_county,27013,Blue Earth
person,school_county,27015,Brown
person,school_county,27017,Carlton
person,school_county,27019,Carver
person,school_county,27021,Cass
person,school_county,27023,Chippewa
person,school_county,27025,Chisago
person,school_county,27027,Clay
person,school_county,27029,Clearwater
person,school_county,27031,Cook
person,school_county,27033,Cottonwood
person,school_county,27035,Crow Wing
person,school_county,27037,Dakota
person,school_county,27039,Dodge
person,school_county,27041,Douglas
person,school_county,27043,Faribault
person,school_county,27045,Fillmore
person,school_county,27047,Freeborn
person,school_county,27049,Goodhue
person,school_county,27051,Grant
person,school_county,27053,Hennepin
person,school_county,27055,Houston
person,school_county,27057,Hubbard
person,school_county,27059,Isanti
person,school_county,27061,Itasca
person,school_county,27063,Jackson
person,school_county,27065,Kanabec
person,school_county,27067,Kandiyohi
person,school_county,27069,Kittson
person,school_county,27071,Koochiching
person,school_county,27073,Lac qui Parle
person,school_county,27075,Lake
person,school_county,27077,Lake of the Woods
person,school_county,27079,Le Sueur
person,school_county,27081,Lincoln
person,school_county,27083,Lyon
person,school_county,27085,McLeod
person,school_county,27087,Mahnomen
person,school_county,27089,Marshall
person,school_county,27091,Martin
person,school_county,27093,Meeker
person,school_county,27095,Mille Lacs
person,school_county,27097,Morrison
person,school_county,27099,Mower
person,school_county,27101,Murray
person,school_county,27103,Nicollet
person,school_county,27105,Nobles
person,school_county,27107,Norman
person,school_county,27109,Olmsted
person,school_county,27111,Otter Tail
person,school_county,27113,Pennington
person,school_county,27115,Pine
person,school_county,27117,Pipestone
person,school_county,27119,Polk
person,school_county,27121,Pope
person,school_county,27123,Ramsey
person,school_county,27125,Red Lake
person,school_county,27127,Redwood
person,school_county,27129,Renville
person,school_county,27131,Rice
person,school_county,27133,Rock
person,school_county,27135,Roseau
person,school_county,27137,St Louis
person,school_county,27139,Scott
person,school_county,27141,Sherburne
person,school_county,27143,Sibley
person,school_county,27145,Stearns
person,school_county,27147,Steele
person,school_county,27149,Stevens
person,school_county,27151,Swift
person,school_county,27153,Todd
person,school_county,27155,Traverse
person,school_county,27157,Wabasha
person,school_county,27159,Wadena
person,school_county,27161,Waseca
person,school_county,27163,Washington
person,school_county,27165,Watonwan
person,school_county,27167,Wilkin
person,school_county,27169,Winona
person,school_county,27171,Wright
person,school_county,27173,Yellow Medicine
person,school_county,55001,Adams
person,school_county,55003,Ashland
person,school_county,55005,Barron
person,school_county,55007,Bayfield
person,school_county,55009,Brown
person,school_county,55011,Buffalo
person,school_county,55013,Burnett
person,school_county,55015,Calumet
person,school_county,55017,Chippewa
person,school_county,55019,Clark
person,school_county,55021,Columbia
person,school_county,55023,Crawford
person,school_county,55025,Dane
person,school_county,55027,Dodge
person,school_county,55029,Door
person,school_county,55031,Douglas
person,school_county,55033,Dunn
person,school_county,55035,Eau Claire
person,school_county,55037,Florence
person,school_county,55039,Fond du Lac
person,school_county,55041,Forest
person,school_county,55043,Grant
person,school_county,55045,Green
person,school_county,55047,Green Lake
person,school_county,55049,Iowa
person,school_county,55051,Iron
person,school_county,55053,Jackson
person,school_county,55055,Jefferson
person,school_county,55057,Juneau
person,school_county,55059,Kenosha
person,school_county,55061,Kewaunee
person,school_county,55063,La Crosse
person,school_county,55065,Lafayette
person,school_county,55067,Langlade
person,school_county,55069,Lincoln
person,school_county,55071,Manitowoc
person,school_county,55073,Marathon
person,school_county,55075,Marinette
person,school_county,55077,Marquette
person,school_county,55078,Menominee
person,school_county,55079,Milwaukee
person,school_county,55081,Monroe
person,school_county,55083,Oconto
person,school_county,55085,Oneida
person,school_county,55087,Outagamie
person,school_county,55089,Ozaukee
person,school_county,55091,Pepin
person,school_county,55093,Pierce
person,school_county,55095,Polk
person,school_county,55097,Portage
person,school_county,55099,Price
person,school_county,55101,Racine
person,school_county,55103,Richland
person,school_county,55105,Rock
person,school_county,55107,Rusk
person,school_county,55109,St Croix
person,school_county,55111,Sauk
person,school_county,55113,Sawyer
person,school_county,55115,Shawano
person,school_county,55117,Sheboygan
person,school_county,55119,Taylor
person,school_county,55121,Trempealeau
person,school_county,55123,Vernon
person,school_county,55125,Vilas
person,school_county,55127,Walworth
person,school_county,55129,Washburn
person,school_county,55131,Washington
person,school_county,55133,Waukesha
person,school_county,55135,Waupaca
person,school_county,55137,Waushara
person,school_county,55139,Winnebago
person,school_county,55141,Wood
person,school_state,27,Minnesota
person,school_state,55,Wisconsin
person,school_state,995,Missing
person,school_in_region,0,Not in study region
person,school_in_region,1,In study region
person,school_in_region,995,Missing
person,num_jobs,1,1
person,num_jobs,2,2
person,num_jobs,3,3
person,num_jobs,4,4
person,num_jobs,5,5
person,num_jobs,6,6
person,num_jobs,995,Missing
person,employment_status,1,Employed full-time (paid)
person,employment_status,2,Employed part-time (paid)
person,employment_status,3,Self-employed
person,employment_status,5,"Not employed and not looking for work (e.g., retired, stay-at-home parent, student)"
person,employment_status,6,Unemployed and looking for work
person,employment_status,7,Unpaid volunteer or intern
person,employment_status,8,"Employed, but not currently working (e.g., on leave, furloughed 100%)"
person,employment_status,995,Missing
person,employment_pre_covid,1,Employed full-time (paid)
person,employment_pre_covid,2,Employed part-time (paid)
person,employment_pre_covid,3,Self-employed
person,employment_pre_covid,5,"Not employed and not looking for work (e.g., retired, stay-at-home parent, student)"
person,employment_pre_covid,6,Unemployed and looking for work
person,employment_pre_covid,7,Unpaid volunteer or intern
person,employment_pre_covid,995,Missing
person,job_type,1,Go to one work location ONLY (outside of home)
person,job_type,2,Work location regularly varies (different offices/jobsites)
